Date,Open,High,Low,Close,Date_from_start,day_of_week,month,group_id
2024-08-19,2.6553557,2.6743166,2.6344624,2.6553552,4165.0,0.0,8.0,Syn
2024-08-16,2.6523452,2.6729784,2.6325123,2.6537223,4162.0,4.0,8.0,Syn
2024-08-15,2.6516051,2.6729279,2.6329403,2.655879,4161.0,3.0,8.0,Syn
2024-08-14,2.6503317,2.6698632,2.6282244,2.6504037,4160.0,2.0,8.0,Syn
2024-08-13,2.6580296,2.674527,2.6356359,2.6540384,4159.0,1.0,8.0,Syn
2024-08-12,2.6564684,2.6760488,2.638136,2.6570382,4158.0,0.0,8.0,Syn
2024-08-09,2.6529574,2.672618,2.634503,2.6560507,4155.0,4.0,8.0,Syn
2024-08-08,2.6495917,2.6715755,2.6305275,2.6542258,4154.0,3.0,8.0,Syn
2024-08-07,2.6481414,2.6693766,2.6290178,2.6503596,4153.0,2.0,8.0,Syn
2024-08-06,2.6464972,2.665998,2.626885,2.6478996,4152.0,1.0,8.0,Syn
2024-08-05,2.6458685,2.6651971,2.6230726,2.6460185,4151.0,0.0,8.0,Syn
2024-08-02,2.6538906,2.6699708,2.630597,2.648603,4148.0,4.0,8.0,Syn
2024-08-01,2.6518803,2.67201,2.6338797,2.6538332,4147.0,3.0,8.0,Syn
2024-07-31,2.6502955,2.6686943,2.6295416,2.6495876,4146.0,2.0,7.0,Syn
2024-07-30,2.6533363,2.6695716,2.631348,2.650597,4145.0,1.0,7.0,Syn
2024-07-29,2.6544733,2.6714892,2.633161,2.6527686,4144.0,0.0,7.0,Syn
2024-07-26,2.6547606,2.672086,2.6346462,2.6535866,4141.0,4.0,7.0,Syn
2024-07-25,2.654306,2.6714187,2.633685,2.6533024,4140.0,3.0,7.0,Syn
2024-07-24,2.6532056,2.6718235,2.6341598,2.6547453,4139.0,2.0,7.0,Syn
2024-07-23,2.6507516,2.670522,2.6297686,2.6522055,4138.0,1.0,7.0,Syn
2024-07-22,2.6550941,2.6731646,2.6340263,2.652617,4137.0,0.0,7.0,Syn
2024-07-19,2.6580064,2.6755624,2.636034,2.6562781,4134.0,4.0,7.0,Syn
2024-07-18,2.6560924,2.6724513,2.637602,2.656589,4133.0,3.0,7.0,Syn
2024-07-17,2.6555932,2.6739721,2.6360328,2.6556435,4132.0,2.0,7.0,Syn
2024-07-16,2.653854,2.6720698,2.6338549,2.6540189,4131.0,1.0,7.0,Syn
2024-07-15,2.6546032,2.6714773,2.6346812,2.6539907,4130.0,0.0,7.0,Syn
2024-07-12,2.6564705,2.6742651,2.6353405,2.6548584,4127.0,4.0,7.0,Syn
2024-07-11,2.6590173,2.6750185,2.6370778,2.6557543,4126.0,3.0,7.0,Syn
2024-07-10,2.661489,2.6783574,2.639943,2.658271,4125.0,2.0,7.0,Syn
2024-07-09,2.6641078,2.6806915,2.6420567,2.6609375,4124.0,1.0,7.0,Syn
2024-07-08,3.1111054,3.1270244,3.091218,3.108635,4123.0,0.0,7.0,Syn
2024-07-05,3.1089194,3.1265864,3.0894754,3.109584,4120.0,4.0,7.0,Syn
2024-07-04,3.1090846,3.126959,3.0904155,3.1110113,4119.0,3.0,7.0,Syn
2024-07-03,3.1101367,3.12713,3.0889533,3.108491,4118.0,2.0,7.0,Syn
2024-07-02,3.1140914,3.1308596,3.094624,3.1122162,4117.0,1.0,7.0,Syn
2024-07-01,3.1153624,3.13399,3.0985131,3.1157866,4116.0,0.0,7.0,Syn
2024-06-28,3.1131635,3.1310873,3.0959384,3.115181,4113.0,4.0,6.0,Syn
2024-06-27,3.109843,3.1287038,3.092412,3.1136706,4112.0,3.0,6.0,Syn
2024-06-26,3.1085145,3.1272504,3.089294,3.1078289,4111.0,2.0,6.0,Syn
2024-06-25,3.1027262,3.1227875,3.0853965,3.1052513,4110.0,1.0,6.0,Syn
2024-06-24,3.1018178,3.1185439,3.080131,3.1003191,4109.0,0.0,6.0,Syn
2024-06-21,3.1067255,3.1220062,3.086323,3.1036646,4106.0,4.0,6.0,Syn
2024-06-20,3.1060264,3.1250918,3.0869672,3.1067512,4105.0,3.0,6.0,Syn
2024-06-19,3.105128,3.1209843,3.0862756,3.1039608,4104.0,2.0,6.0,Syn
2024-06-18,3.1089928,3.1248116,3.0881126,3.105968,4103.0,1.0,6.0,Syn
2024-06-17,3.1075265,3.126385,3.0881815,3.1095603,4102.0,0.0,6.0,Syn
2024-06-14,3.1081312,3.1265514,3.0875456,3.1082394,4099.0,4.0,6.0,Syn
2024-06-13,3.1083224,3.1250014,3.0885475,3.1055684,4098.0,3.0,6.0,Syn
2024-06-12,3.1070743,3.125617,3.0904918,3.1080573,4097.0,2.0,6.0,Syn
2024-06-11,3.1058035,3.1251338,3.0854404,3.1077888,4096.0,1.0,6.0,Syn
2024-06-10,3.1052337,3.1250043,3.0864298,3.1052072,4095.0,0.0,6.0,Syn
2024-06-07,3.104785,3.123004,3.0870388,3.1067736,4092.0,4.0,6.0,Syn
2024-06-06,3.1023479,3.120655,3.0865533,3.1061304,4091.0,3.0,6.0,Syn
2024-06-05,3.1021683,3.1213627,3.0831258,3.1018674,4090.0,2.0,6.0,Syn
2024-06-04,3.1030588,3.1196182,3.0810456,3.1020186,4089.0,1.0,6.0,Syn
2024-06-03,3.102994,3.1214542,3.0842538,3.1036808,4088.0,0.0,6.0,Syn
2024-05-31,3.102791,3.1221077,3.0837326,3.105647,4085.0,4.0,5.0,Syn
2024-05-30,3.105774,3.122973,3.0843294,3.103116,4084.0,3.0,5.0,Syn
2024-05-29,3.1066723,3.1262386,3.0872188,3.1071947,4083.0,2.0,5.0,Syn
2024-05-28,3.1046927,3.1239812,3.0861354,3.106963,4082.0,1.0,5.0,Syn
2024-05-27,3.288527,3.3130229,3.263692,3.2862883,4081.0,0.0,5.0,Syn
2024-05-24,3.291071,3.313013,3.263003,3.2879999,4078.0,4.0,5.0,Syn
2024-05-23,3.2903283,3.313866,3.267842,3.2936878,4077.0,3.0,5.0,Syn
2024-05-22,3.2937503,3.3127723,3.2657478,3.2876804,4076.0,2.0,5.0,Syn
2024-05-21,3.2984293,3.3195913,3.2736163,3.2944906,4075.0,1.0,5.0,Syn
2024-05-20,3.3017466,3.3235667,3.282486,3.2996686,4074.0,0.0,5.0,Syn
2024-05-17,3.2964392,3.3195596,3.2754235,3.2988758,4071.0,4.0,5.0,Syn
2024-05-16,3.2880723,3.3134325,3.268376,3.2964506,4070.0,3.0,5.0,Syn
2024-05-15,3.2920823,3.3126056,3.265265,3.287118,4069.0,2.0,5.0,Syn
2024-05-14,3.28175,3.3059149,3.2588844,3.2858882,4068.0,1.0,5.0,Syn
2024-05-13,3.2795594,3.301825,3.251801,3.278958,4067.0,0.0,5.0,Syn
2024-05-10,3.282102,3.307548,3.2546484,3.2819886,4064.0,4.0,5.0,Syn
2024-05-09,3.2780316,3.3056037,3.254759,3.2802653,4063.0,3.0,5.0,Syn
2024-05-08,3.2744927,3.2972758,3.250011,3.2769945,4062.0,2.0,5.0,Syn
2024-05-07,3.2736602,3.2985837,3.2469852,3.2724397,4061.0,1.0,5.0,Syn
2024-05-06,3.27235,3.2964158,3.2473326,3.2767534,4060.0,0.0,5.0,Syn
2024-05-03,3.2703006,3.2948005,3.2416775,3.2690108,4057.0,4.0,5.0,Syn
2024-05-02,3.2649968,3.2907934,3.2413557,3.2677836,4056.0,3.0,5.0,Syn
2024-05-01,3.2625356,3.2905066,3.2396297,3.2670045,4055.0,2.0,5.0,Syn
2024-04-30,3.258392,3.2850423,3.234677,3.26225,4054.0,1.0,4.0,Syn
2024-04-29,3.2603302,3.2864096,3.2362802,3.2584724,4053.0,0.0,4.0,Syn
2024-04-26,3.2581956,3.2873228,3.2344453,3.260904,4050.0,4.0,4.0,Syn
2024-04-25,3.25809,3.2830098,3.2325566,3.2626903,4049.0,3.0,4.0,Syn
2024-04-24,3.2590446,3.2839248,3.231076,3.256835,4048.0,2.0,4.0,Syn
2024-04-23,3.2609649,3.2821438,3.2286375,3.258995,4047.0,1.0,4.0,Syn
2024-04-22,3.2568693,3.282856,3.2302792,3.258234,4046.0,0.0,4.0,Syn
2024-04-19,3.2567284,3.2834651,3.2289603,3.2584207,4043.0,4.0,4.0,Syn
2024-04-18,3.2648246,3.2851923,3.233633,3.2583315,4042.0,3.0,4.0,Syn
2024-04-17,3.2631578,3.2898264,3.2369077,3.2638185,4041.0,2.0,4.0,Syn
2024-04-16,3.2630315,3.2887645,3.2349799,3.264734,4040.0,1.0,4.0,Syn
2024-04-15,2.1426911,2.1574795,2.1235526,2.1409388,4039.0,0.0,4.0,Syn
2024-04-12,2.1387215,2.1596763,2.1197302,2.1390407,4036.0,4.0,4.0,Syn
2024-04-11,2.1369452,2.1593888,2.1224833,2.1442635,4035.0,3.0,4.0,Syn
2024-04-10,2.134502,2.152591,2.1132884,2.13246,4034.0,2.0,4.0,Syn
2024-04-09,2.1416087,2.159161,2.1230602,2.1379895,4033.0,1.0,4.0,Syn
2024-04-08,2.1409183,2.1585765,2.1271143,2.1406612,4032.0,0.0,4.0,Syn
2024-04-05,2.1369946,2.1563978,2.1216037,2.1396704,4029.0,4.0,4.0,Syn
2024-04-04,2.132437,2.1558619,2.1159832,2.1381989,4028.0,3.0,4.0,Syn
2024-04-03,2.1307185,2.1530147,2.1134257,2.1331348,4027.0,2.0,4.0,Syn
2024-04-02,2.1319976,2.1515877,2.1134326,2.1318376,4026.0,1.0,4.0,Syn
2024-04-01,2.1307945,2.1520793,2.1112351,2.1325681,4025.0,0.0,4.0,Syn
2024-03-29,2.1433766,2.1589723,2.118983,2.1354823,4022.0,4.0,3.0,Syn
2024-03-28,2.1406143,2.162164,2.124723,2.1441116,4021.0,3.0,3.0,Syn
2024-03-27,2.1399994,2.160219,2.1212044,2.1384263,4020.0,2.0,3.0,Syn
